year,migration_type,primary_FIPS,aux_FIPS,aux_county,aux_state,aux_GeoRollup,people_inflow,agi_inflow,agi_capita_inflow,people_outflow,agi_outflow,agi_capita_outflow,people_net,agi_net
2016,county,13219,13013,Barrow,GA,Atlanta,169,3889000,23011.834319526628,115,2831000,24617.391304347828,54,1058000
2016,county,13219,13059,Clarke,GA,Athens,1028,33779000,32858.94941634241,615,28113000,45712.19512195122,413,5666000
2016,county,13219,13121,Fulton,GA,Atlanta,61,3236000,53049.18032786885,46,2200000,47826.086956521736,15,1036000
2016,county,13219,13135,Gwinnett,GA,Atlanta,151,7249000,48006.622516556294,59,2009000,34050.84745762712,92,5240000
2016,county,13219,13157,Jackson,GA,Jackson County,76,2408000,31684.21052631579,66,1526000,23121.21212121212,10,882000
2016,county,13219,13195,Madison,GA,Athens,55,1339000,24345.454545454544,74,1028000,13891.891891891892,-19,311000
2016,county,13219,13297,Walton,GA,Atlanta,186,4912000,26408.602150537634,71,1161000,16352.112676056338,115,3751000
2016,total,13219,96000,,,,3119,110536000,35439.56396280859,2118,83143000,39255.42965061378,1001,27393000
2017,county,13219,13013,Barrow,GA,Atlanta,256,11620000,45390.625,160,3505000,21906.25,96,8115000
2017,county,13219,13059,Clarke,GA,Athens,1526,62057000,40666.448230668415,733,21862000,29825.37517053206,793,40195000
2017,county,13219,13121,Fulton,GA,Atlanta,112,6816000,60857.142857142855,56,3735000,66696.42857142857,56,3081000
2017,county,13219,13135,Gwinnett,GA,Atlanta,285,11059000,38803.508771929824,97,5790000,59690.721649484534,188,5269000
2017,county,13219,13157,Jackson,GA,Jackson County,137,3700000,27007.299270072992,117,2921000,24965.811965811965,20,779000
2017,county,13219,13195,Madison,GA,Athens,60,1567000,26116.666666666668,94,1795000,19095.744680851065,-34,-228000
2017,county,13219,13211,Morgan,GA,Atlanta,43,2642000,61441.86046511628,47,1225000,26063.82978723404,-4,1417000
2017,county,13219,13297,Walton,GA,Atlanta,206,5312000,25786.40776699029,92,2609000,28358.695652173912,114,2703000
2017,total,13219,96000,,,,4692,185555000,39547.10144927536,2687,98549000,36676.21883141049,2005,87006000
2018,county,13219,13013,Barrow,GA,Atlanta,203,7587000,37374.3842364532,184,5100000,27717.391304347828,19,2487000
2018,county,13219,13059,Clarke,GA,Athens,990,32049000,32372.727272727272,557,19477000,34967.68402154399,433,12572000
2018,county,13219,13067,Cobb,GA,Atlanta,51,3552000,69647.05882352941,43,1392000,32372.093023255813,8,2160000
2018,county,13219,13089,DeKalb,GA,Atlanta,54,3209000,59425.92592592593,34,1568000,46117.64705882353,20,1641000
2018,county,13219,13121,Fulton,GA,Atlanta,49,2826000,57673.4693877551,59,4293000,72762.71186440678,-10,-1467000
2018,county,13219,13135,Gwinnett,GA,Atlanta,212,9551000,45051.88679245283,83,2980000,35903.614457831325,129,6571000
2018,county,13219,13157,Jackson,GA,Jackson County,71,1515000,21338.028169014084,95,2378000,25031.57894736842,-24,-863000
2018,county,13219,13195,Madison,GA,Athens,96,2194000,22854.166666666668,79,1248000,15797.468354430379,17,946000
2018,county,13219,13211,Morgan,GA,Atlanta,57,1726000,30280.701754385966,54,2003000,37092.59259259259,3,-277000
2018,county,13219,13221,Oglethorpe,GA,Athens,54,1675000,31018.51851851852,42,1131000,26928.571428571428,12,544000
2018,county,13219,13297,Walton,GA,Atlanta,145,3564000,24579.310344827587,91,2608000,28659.340659340658,54,956000
2018,total,13219,96000,,,,3374,129153000,38278.89745109662,2240,85851000,38326.33928571428,1134,43302000
2019,county,13219,13013,Barrow,GA,Atlanta,181,9257000,51143.64640883978,222,5795000,26103.603603603602,-41,3462000
2019,county,13219,13059,Clarke,GA,Athens,859,40851000,47556.46100116414,595,23268000,39105.882352941175,264,17583000
2019,county,13219,13121,Fulton,GA,Atlanta,56,3145000,56160.71428571428,69,3850000,55797.10144927536,-13,-705000
2019,county,13219,13135,Gwinnett,GA,Atlanta,263,15689000,59653.992395437264,71,2297000,32352.11267605634,192,13392000
2019,county,13219,13157,Jackson,GA,Jackson County,93,2267000,24376.344086021505,101,2484000,24594.059405940596,-8,-217000
2019,county,13219,13195,Madison,GA,Athens,84,2186000,26023.809523809523,65,1254000,19292.30769230769,19,932000
2019,county,13219,13211,Morgan,GA,Atlanta,49,2373000,48428.57142857143,50,2318000,46360.0,-1,55000
2019,county,13219,13221,Oglethorpe,GA,Athens,61,1497000,24540.983606557376,62,1472000,23741.935483870966,-1,25000
2019,county,13219,13297,Walton,GA,Atlanta,156,4940000,31666.666666666668,91,2197000,24142.85714285714,65,2743000
2019,total,13219,96000,,,,3028,139065000,45926.35402906209,2251,94552000,42004.442470013324,777,44513000
2020,county,13219,13013,Barrow,GA,Atlanta,259,6660000,25714.285714285714,177,6058000,34225.98870056497,82,602000
2020,county,13219,13059,Clarke,GA,Athens,949,32814000,34577.44994731296,632,25939000,41042.72151898734,317,6875000
2020,county,13219,13067,Cobb,GA,Atlanta,44,1574000,35772.72727272727,46,2167000,47108.69565217391,-2,-593000
2020,county,13219,13089,DeKalb,GA,Atlanta,48,4920000,102500.0,35,1692000,48342.857142857145,13,3228000
2020,county,13219,13121,Fulton,GA,Atlanta,73,5765000,78972.60273972603,62,2850000,45967.74193548387,11,2915000
2020,county,13219,13135,Gwinnett,GA,Atlanta,320,14380000,44937.5,75,2648000,35306.666666666664,245,11732000
2020,county,13219,13157,Jackson,GA,Jackson County,104,3285000,31586.53846153846,93,2384000,25634.40860215054,11,901000
2020,county,13219,13195,Madison,GA,Athens,62,982000,15838.709677419354,96,2316000,24125.0,-34,-1334000
2020,county,13219,13221,Oglethorpe,GA,Athens,43,1322000,30744.18604651163,52,1458000,28038.46153846154,-9,-136000
2020,county,13219,13297,Walton,GA,Atlanta,157,7843000,49955.41401273885,122,4299000,35237.70491803279,35,3544000
2020,total,13219,96000,,,,3489,156445000,44839.495557466325,2504,101596000,40573.482428115014,985,54849000
2021,county,13219,13013,Barrow,GA,Atlanta,173,6083000,35161.84971098266,164,5921000,36103.65853658537,9,162000
2021,county,13219,13059,Clarke,GA,Athens,990,41590000,42010.10101010101,624,29573000,47392.6282051282,366,12017000
2021,county,13219,13089,DeKalb,GA,Atlanta,73,4156000,56931.50684931507,38,2849000,74973.68421052632,35,1307000
2021,county,13219,13121,Fulton,GA,Atlanta,115,9059000,78773.91304347826,39,1819000,46641.02564102564,76,7240000
